beta_start,alternative_pacc,beta_k,q,steps_per_temperature,threshold,threshold_acceptanc_rate,final_steps_to_convergence,final_path_distance,final_beta_value
1,False,2.9910169058002633e+58,0.5,2500,5e-05,0.1,2500,7.245464493599726,2.9910169058002633e+58
1,True,2.9910169058002633e+58,0.5,2500,5e-05,0.1,2500,7.712599719516594,2.9910169058002633e+58
1,False,10.954451150103324,0.5,5000,5e-05,0.1,2049,10.625453918839188,10.954451150103324
1,True,3.5621192033097967e+44,0.5,5000,5e-05,0.1,141,7.465762104469511,3.5621192033097967e+44
1,False,26.832815729997478,0.5,7500,5e-05,0.1,2664,9.239139634415134,26.832815729997478
1,True,20082117944245.96,0.5,7500,5e-05,0.1,124,8.206966448629474,20082117944245.96
1,False,2.9910169058002633e+58,0.5,10000,5e-05,0.1,10000,7.743692603215146,2.9910169058002633e+58
1,True,602.3952191045345,0.5,10000,5e-05,0.1,726,7.580202007460706,602.3952191045345
1,False,7.347615385202708e+81,0.7,2500,5e-05,0.1,2500,8.182937543026494,7.347615385202708e+81
1,True,2.620588223000891e+40,0.7,2500,5e-05,0.1,259,8.983957320462817,2.620588223000891e+40
1,False,28.53821938497882,0.7,5000,5e-05,0.1,226,10.088779100088075,28.53821938497882
1,True,9.25013070082624,0.7,5000,5e-05,0.1,1391,11.749761107331972,9.25013070082624
1,False,1.835208121483444e+75,0.7,7500,5e-05,0.1,591,8.245740054101423,1.835208121483444e+75
1,True,911100394846.6086,0.7,7500,5e-05,0.1,509,7.924373203444411,911100394846.6086
1,False,1674.4198598243593,0.7,10000,5e-05,0.1,5230,7.121423592997542,1674.4198598243593
1,True,9.25013070082624,0.7,10000,5e-05,0.1,4854,10.95675239472924,9.25013070082624
1,False,372.90589321807437,0.9,2500,5e-05,0.1,884,8.919058822708383,372.90589321807437
1,True,4.199021937641701e+34,0.9,2500,5e-05,0.1,675,9.415075330724985,4.199021937641701e+34
1,False,9.597086575613923e+48,0.9,5000,5e-05,0.1,2120,6.739658230188022,9.597086575613923e+48
1,True,17.465865744991227,0.9,5000,5e-05,0.1,4353,9.466742984333981,17.465865744991227
1,False,1.0299339722063668e+36,0.9,7500,5e-05,0.1,2248,7.1683210433302715,1.0299339722063668e+36
1,True,17.465865744991227,0.9,7500,5e-05,0.1,4967,8.827682861537875,17.465865744991227
1,False,17.465865744991227,0.9,10000,5e-05,0.1,2444,10.124359185750615,17.465865744991227
1,True,1.8049865162639231e+105,0.9,10000,5e-05,0.1,10000,8.579643899123498,1.8049865162639231e+105
1,False,5.443449390774431e+92,1.0,2500,5e-05,0.1,72,9.140839916073949,5.443449390774431e+92
1,True,120.0,1.0,2500,5e-05,0.1,1503,8.609061360886093,120.0
1,False,2.0397882081197442e+46,1.0,5000,5e-05,0.1,3325,7.697025851450277,2.0397882081197442e+46
1,True,8.065817517094388e+67,1.0,5000,5e-05,0.1,1927,8.095137732164078,8.065817517094388e+67
1,False,4.052691950487722e+76,1.0,7500,5e-05,0.1,267,7.627428577967392,4.052691950487722e+76
1,True,24.0,1.0,7500,5e-05,0.1,6497,9.07388252048045,24.0
1,False,6402373705728000.0,1.0,10000,5e-05,0.1,1218,7.929233216271397,6402373705728000.0
1,True,479001600.0,1.0,10000,5e-05,0.1,106,8.627019970495642,479001600.0
1,False,4.4340594234910295e+128,1.1,2500,5e-05,0.1,2500,7.411646557661135,4.4340594234910295e+128
1,True,2.594470770322998e+80,1.1,2500,5e-05,0.1,2213,8.365028423430854,2.594470770322998e+80
1,False,4.4340594234910295e+128,1.1,5000,5e-05,0.1,5000,6.716265349118154,4.4340594234910295e+128
1,True,1.4858543401805987e+26,1.1,5000,5e-05,0.1,402,9.570584316211887,1.4858543401805987e+26
1,False,1.4858543401805987e+26,1.1,7500,5e-05,0.1,1361,7.507722093705185,1.4858543401805987e+26
1,True,4.4340594234910295e+128,1.1,7500,5e-05,0.1,7500,7.840976980595891,4.4340594234910295e+128
1,False,1390.1630664142958,1.1,10000,5e-05,0.1,1498,6.933095083378217,1390.1630664142958
1,True,4.4340594234910295e+128,1.1,10000,5e-05,0.1,10000,6.815058585157806,4.4340594234910295e+128
1,False,62.26939041505117,1.3,2500,5e-05,0.1,620,11.904830833187825,62.26939041505117
1,True,8.521525956882116e+30,1.3,2500,5e-05,0.1,1435,7.453165241175378,8.521525956882116e+30
1,False,7.97924870763317e+23,1.3,5000,5e-05,0.1,83,6.835868886645807,7.97924870763317e+23
1,True,1.047831362328115e+48,1.3,5000,5e-05,0.1,334,7.997413476736839,1.047831362328115e+48
1,False,1.0435240024119724e+52,1.3,7500,5e-05,0.1,762,7.614703340295491,1.0435240024119724e+52
1,True,10.270619156458231,1.3,7500,5e-05,0.1,3978,12.67271484502757,10.270619156458231
1,False,8.52184616044824e+122,1.3,10000,5e-05,0.1,108,8.755270208810067,8.52184616044824e+122
1,True,1.0892537309222893e+152,1.3,10000,5e-05,0.1,10000,7.33581470714908,1.0892537309222893e+152
